TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2003,04,13,22,00,63XX COMMERCIAL ST,Victoria-Fraserview,495024.65,5452599.24
Theft from Vehicle,2003,03,26,12,15,10XX W 15TH AVE,Fairview,490697.0,5456130.25
Theft from Vehicle,2003,11,11,20,00,33XX GRAVELEY ST,Hastings-Sunrise,497515.66,5457518.0
Mischief,2003,05,08,21,50,E 54TH AV / VICTORIA DR,Victoria-Fraserview,495203.36,5451944.43
Theft from Vehicle,2003,06,10,22,30,2XX E 18TH AVE,Riley Park,492706.62,5455779.43
Theft of Vehicle,2003,07,03,22,30,5XX COMMERCIAL DR,Grandview-Woodland,494882.12,5458611.71
Theft of Vehicle,2003,08,31,12,05,10XX DAVIE ST,West End,490593.56,5458492.35
Theft from Vehicle,2003,05,12,23,55,4XX KINGSWAY AVE,Mount Pleasant,493189.44,5456141.22
Theft from Vehicle,2003,09,18,01,00,2XX E 18TH AVE,Riley Park,492706.62,5455779.43
Break and Enter Residential/Other,2003,01,16,18,00,18XX E HASTINGS ST,Grandview-Woodland,495053.95,5458718.05
Theft of Vehicle,2003,08,31,02,00,5XX COLUMBIA ST,Central Business District,492566.0,5458630.41
Mischief,2003,11,15,23,00,E 53RD AVE / VICTORIA DR,Victoria-Fraserview,495203.59,5452056.19
Theft of Vehicle,2003,07,08,15,30,5XX COLUMBIA ST,Central Business District,492566.0,5458630.41
Break and Enter Residential/Other,2003,11,26,13,00,18XX E HASTINGS ST,Grandview-Woodland,495053.95,5458718.05
Theft of Vehicle,2003,05,09,11,20,5XX CLARK DR,Grandview-Woodland,494391.75,5458596.82
Theft of Vehicle,2003,08,16,19,00,10XX DAVIE ST,West End,490593.56,5458492.35
Mischief,2003,10,07,01,15,2XX JACKSON AVE,Strathcona,493215.62,5458923.6
Mischief,2003,11,07,17,15,9XX W HASTINGS ST,Central Business District,491569.91,5459324.13
Theft from Vehicle,2003,09,19,01,00,2XX E 18TH AVE,Riley Park,492706.62,5455779.43
Break and Enter Residential/Other,2003,06,04,09,00,18XX E PENDER ST,Grandview-Woodland,495077.9,5458609.08
Theft from Vehicle,2003,09,30,14,30,E HASTINGS ST / GORE AVE,Strathcona,492911.36,5458733.34
Mischief,2003,12,28,23,47,2XX JACKSON AVE,Strathcona,493215.62,5458923.6
Theft from Vehicle,2003,05,13,20,00,4XX KINGSWAY AVE,Mount Pleasant,493189.44,5456141.22
Break and Enter Residential/Other,2003,02,15,02,00,18XX E PENDER ST,Grandview-Woodland,495081.65,5458618.19
Break and Enter Commercial,2003,04,29,19,15,10XX CAMBIE ST,Central Business District,491350.58,5458070.41
Break and Enter Commercial,2003,01,22,19,00,10XX CAMBIE ST,Central Business District,491355.97,5458080.85
Break and Enter Commercial,2003,10,23,19,00,10XX CAMBIE ST,Central Business District,491355.97,5458080.85
Break and Enter Residential/Other,2003,02,17,03,55,18XX E PENDER ST,Grandview-Woodland,495081.65,5458618.19
Other Theft,2003,06,13,16,15,85XX GRANVILLE ST,Marpole,489760.8,5450702.68
Other Theft,2003,06,14,17,25,85XX GRANVILLE ST,Marpole,489760.8,5450702.68
Other Theft,2003,07,22,08,30,85XX GRANVILLE ST,Marpole,489760.8,5450702.68
Theft of Vehicle,2003,10,07,13,20,5XX CARRALL ST,Central Business District,492412.92,5458640.89
Break and Enter Commercial,2003,04,16,16,40,10XX CAMBIE ST,Central Business District,491366.77,5458101.72
Offence Against a Person,2003,11,18,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,09,16,07,30,24XX YORK AVE,Kitsilano,488253.15,5457690.4
Break and Enter Residential/Other,2003,05,05,22,00,18XX E PENDER ST,Grandview-Woodland,495081.65,5458618.19
Theft of Vehicle,2003,08,18,10,00,5XX CARRALL ST,Central Business District,492412.92,5458640.89
Break and Enter Residential/Other,2003,11,23,09,15,18XX E PENDER ST,Grandview-Woodland,495081.65,5458618.19
Theft from Vehicle,2003,07,25,19,30,33XX HEATHER ST,South Cambie,491252.74,5455924.68
Break and Enter Residential/Other,2003,12,18,12,00,18XX E PENDER ST,Grandview-Woodland,495081.65,5458618.19
Theft of Vehicle,2003,02,14,06,30,5XX CARRALL ST,Central Business District,492412.92,5458640.89
Theft of Vehicle,2003,01,13,07,30,5XX CARRALL ST,Central Business District,492412.92,5458640.89
Break and Enter Residential/Other,2003,04,26,20,00,69XX CULLODEN ST,Sunset,494254.52,5452029.94
Mischief,2003,05,18,19,50,15XX HOWE ST,Central Business District,490411.62,5458001.97
Break and Enter Residential/Other,2003,04,26,20,00,69XX CULLODEN ST,Sunset,494254.66,5452035.47
Break and Enter Residential/Other,2003,04,26,20,00,69XX CULLODEN ST,Sunset,494254.8,5452040.99
Mischief,2003,01,06,22,30,15XX HOWE ST,Central Business District,490405.15,5458008.44
Break and Enter Commercial,2003,10,11,11,30,10XX CAMBIE ST,Central Business District,491401.0,5458118.49
Theft of Vehicle,2003,05,14,17,00,10XX DAVIE ST,West End,490593.56,5458492.35
Theft from Vehicle,2003,12,23,17,45,5XX RICHARDS ST,Central Business District,491770.05,5458940.46
Break and Enter Residential/Other,2003,03,21,09,00,18XX E PENDER ST,Grandview-Woodland,495092.46,5458608.92
Theft from Vehicle,2003,08,20,12,00,2XX E 19TH AVE,Riley Park,492668.38,5455678.44
Break and Enter Residential/Other,2003,03,24,06,35,18XX E PENDER ST,Grandview-Woodland,495092.46,5458608.92
Mischief,2003,03,12,04,00,15XX HORNBY ST,Central Business District,490343.24,5458068.92
Mischief,2003,02,08,05,20,15XX HOMER MEWS,Central Business District,490760.29,5457638.2
Break and Enter Residential/Other,2003,04,14,21,35,18XX E PENDER ST,Grandview-Woodland,495117.93,5458608.62
Break and Enter Residential/Other,2003,09,09,23,00,18XX E PENDER ST,Grandview-Woodland,495117.93,5458608.62
Theft of Vehicle,2003,07,01,22,05,5XX CARDERO ST,Central Business District,490577.51,5459833.15
Theft of Vehicle,2003,02,25,19,00,5XX CARDERO ST,Central Business District,490577.51,5459833.15
Break and Enter Residential/Other,2003,10,28,08,15,18XX E PENDER ST,Grandview-Woodland,495117.93,5458608.62
Break and Enter Residential/Other,2003,11,04,12,00,18XX E PENDER ST,Grandview-Woodland,495117.93,5458608.62
Mischief,2003,10,25,06,34,15XX HARWOOD ST,West End,489837.77,5458932.09
Theft of Vehicle,2003,08,29,21,30,5XX CAMPBELL AVE,Strathcona,493833.89,5458593.02
Theft of Vehicle,2003,01,25,21,00,5XX CAMPBELL AVE,Strathcona,493833.56,5458581.96
Mischief,2003,07,20,00,00,49XX ST CATHERINES ST,Kensington-Cedar Cottage,493682.99,5454119.25
Theft from Vehicle,2003,08,14,11,00,5XX RICHARDS ST,Central Business District,491770.05,5458940.46
Mischief,2003,01,22,18,00,15XX HARWOOD ST,West End,489811.64,5458957.75
Theft from Vehicle,2003,03,03,18,00,11XX PACIFIC BLVD,Central Business District,491220.14,5457934.81
Theft from Vehicle,2003,07,14,12,15,5XX RICHARDS ST,Central Business District,491767.92,5458938.32
Mischief,2003,11,03,15,45,2XX KAMLOOPS ST,Hastings-Sunrise,496034.95,5458900.69
Theft from Vehicle,2003,12,12,02,00,53XX BOUNDARY RD,Renfrew-Collingwood,498277.76,5453714.27
Theft of Vehicle,2003,10,20,12,45,10XX COTTON DR,Grandview-Woodland,494807.7,5458176.38
Theft of Vehicle,2003,03,31,08,30,5XX CAMBIE ST,Central Business District,491996.52,5458752.99
Theft from Vehicle,2003,05,24,21,30,53XX BOUNDARY RD,Renfrew-Collingwood,498277.85,5453636.92
Theft of Vehicle,2003,11,19,11,20,5XX CAMBIE ST,Central Business District,491934.18,5458699.22
Theft of Vehicle,2003,01,18,09,30,5XX BUTE ST,Central Business District,491027.78,5459513.93
Break and Enter Residential/Other,2003,07,08,20,25,18XX E PENDER ST,Grandview-Woodland,495132.59,5458617.59
Theft from Vehicle,2003,10,20,19,00,53XX BOUNDARY RD,Renfrew-Collingwood,498277.85,5453636.92
Theft of Vehicle,2003,06,19,08,17,5XX BURRARD ST,Central Business District,491414.2,5459312.46
Theft from Vehicle,2003,10,20,23,30,53XX BOUNDARY RD,Renfrew-Collingwood,498277.85,5453636.92
Offence Against a Person,2003,05,01,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,03,26,12,00,24XX YORK AVE,Kitsilano,488371.89,5457677.24
Break and Enter Commercial,2003,06,25,03,30,10XX CHILCO ST,West End,489628.19,5459759.58
Offence Against a Person,2003,02,16,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,09,11,19,15,4XX W 23RD AVE,Riley Park,491723.22,5455258.78
Theft from Vehicle,2003,11,18,19,30,53XX BOUNDARY RD,Renfrew-Collingwood,498277.85,5453636.92
Break and Enter Residential/Other,2003,01,07,20,25,80XX SHAUGHNESSY ST,Marpole,490618.85,5451065.95
Break and Enter Residential/Other,2003,03,12,13,45,18XX E PENDER ST,Grandview-Woodland,495187.07,5458607.82
Mischief,2003,08,10,13,00,24XX YORK AVE,Kitsilano,488371.89,5457677.24
Theft from Vehicle,2003,06,01,23,00,10XX HORNBY ST,Central Business District,490907.27,5458640.74
Break and Enter Residential/Other,2003,05,07,11,30,18XX E PENDER ST,Grandview-Woodland,495187.07,5458607.82
Break and Enter Residential/Other,2003,07,04,09,30,18XX E PENDER ST,Grandview-Woodland,495187.07,5458607.82
Offence Against a Person,2003,06,22,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,01,26,21,30,2XX E 19TH AVE,Riley Park,492705.97,5455686.88
Theft from Vehicle,2003,06,03,00,00,2XX E 19TH AVE,Riley Park,492705.97,5455686.88
Break and Enter Commercial,2003,04,17,03,55,10XX COAL HARBOUR RD,Central Business District,491478.34,5459567.13
Break and Enter Commercial,2003,05,08,18,30,10XX COAL HARBOUR RD,Central Business District,491507.34,5459580.09
Break and Enter Residential/Other,2003,09,08,07,30,18XX E PENDER ST,Grandview-Woodland,495187.07,5458607.82
Break and Enter Residential/Other,2003,10,14,16,50,18XX E PENDER ST,Grandview-Woodland,495187.07,5458607.82
Theft from Vehicle,2003,06,10,20,00,2XX E 19TH AVE,Riley Park,492705.97,5455686.88
Break and Enter Residential/Other,2003,10,14,23,30,18XX E PENDER ST,Grandview-Woodland,495187.07,5458607.82
Break and Enter Commercial,2003,10,14,18,00,10XX COMMERCIAL DR,Grandview-Woodland,494937.4,5458077.87
Break and Enter Residential/Other,2003,11,04,21,51,18XX E PENDER ST,Grandview-Woodland,495187.07,5458607.82
Offence Against a Person,2003,07,18,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,02,16,23,15,5XX E 57TH AVE,Sunset,493178.57,5451734.68
Theft from Vehicle,2003,06,21,17,00,2XX E 19TH AVE,Riley Park,492818.07,5455675.62
Theft from Vehicle,2003,11,19,19,00,53XX BOUNDARY RD,Renfrew-Collingwood,498277.85,5453636.92
Mischief,2003,01,19,16,00,25XX ADANAC ST,Hastings-Sunrise,496071.97,5458298.48
Theft of Vehicle,2003,11,29,22,00,5XX BEATTY ST,Central Business District,492107.48,5458713.29
Theft from Vehicle,2003,12,02,22,00,53XX BOUNDARY RD,Renfrew-Collingwood,498277.85,5453636.92
Mischief,2003,10,24,20,30,15XX HARWOOD ST,West End,489794.99,5458986.91
Theft from Vehicle,2003,01,06,10,45,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Theft of Vehicle,2003,08,18,22,00,5XX BEATTY ST,Central Business District,492107.48,5458713.29
Break and Enter Commercial,2003,11,17,20,00,10XX COMMERCIAL DR,Grandview-Woodland,494946.45,5458068.61
Theft from Vehicle,2003,02,23,20,30,69XX MCKINNON ST,Killarney,497163.62,5452004.4
Theft from Vehicle,2003,12,02,00,00,41XX CROWN CRES,West Point Grey,485582.36,5456871.36
Break and Enter Residential/Other,2003,11,10,00,30,4XX W 26TH AVE,Riley Park,491688.11,5455019.48
Theft of Vehicle,2003,07,26,23,00,5XX BEATTY ST,Central Business District,492107.48,5458713.29
Theft of Vehicle,2003,07,05,19,30,5XX BEATTY ST,Central Business District,492107.48,5458713.29
Theft from Vehicle,2003,05,10,22,30,5X E 24TH AVE,Riley Park,492439.7,5455207.85
Break and Enter Commercial,2003,01,14,02,50,10XX COMMERCIAL DR,Grandview-Woodland,494946.62,5458085.11
Theft from Vehicle,2003,09,17,15,45,41XX CROWN CRES,West Point Grey,485661.28,5456881.87
Theft from Vehicle,2003,01,06,16,00,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Theft from Vehicle,2003,05,16,14,30,2XX E 1ST AVE,Mount Pleasant,492689.55,5457484.45
Theft from Vehicle,2003,11,04,22,30,2XX E 1ST AVE,Mount Pleasant,492689.55,5457484.45
Theft of Vehicle,2003,05,22,15,00,10XX COTTON DR,Grandview-Woodland,494798.57,5458176.91
Theft of Vehicle,2003,03,18,18,00,10XX COTTON DR,Grandview-Woodland,494798.57,5458176.91
Theft of Vehicle,2003,02,11,00,00,10XX COTTON DR,Grandview-Woodland,494798.57,5458176.91
Break and Enter Commercial,2003,10,19,04,50,10XX COMMERCIAL DR,Grandview-Woodland,494946.72,5458094.27
Offence Against a Person,2003,03,27,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Commercial,2003,08,01,08,23,10XX COMMERCIAL DR,Grandview-Woodland,494946.77,5458099.77
Mischief,2003,08,29,10,30,7XX GRANVILLE ST,Central Business District,491297.74,5458760.26
Theft of Vehicle,2003,08,02,00,01,10XX CONNAUGHT DR,Shaughnessy,490697.71,5454537.37
Theft from Vehicle,2003,05,26,19,00,10XX PACIFIC BLVD,Central Business District,491532.57,5457926.66
Break and Enter Residential/Other,2003,05,07,17,30,18XX E PENDER ST,Grandview-Woodland,495194.46,5458616.88
Theft from Vehicle,2003,06,02,21,43,89XX STANLEY PARK DR,Stanley Park,489229.38,5460013.7
Break and Enter Commercial,2003,05,15,22,00,10XX COTTON DR,Grandview-Woodland,494798.57,5458176.91
Break and Enter Residential/Other,2003,06,02,07,30,18XX E PENDER ST,Grandview-Woodland,495194.46,5458616.88
Break and Enter Residential/Other,2003,10,05,06,30,18XX E PENDER ST,Grandview-Woodland,495194.46,5458616.88
Theft from Vehicle,2003,01,10,18,00,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Mischief,2003,03,18,00,30,40XX W 31ST AVE,Dunbar-Southlands,485893.41,5454627.54
Theft from Vehicle,2003,12,13,18,30,5XX RICHARDS ST,Central Business District,491759.31,5458942.63
Theft from Vehicle,2003,03,27,22,30,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Break and Enter Commercial,2003,10,08,23,10,10XX DAVIE ST,West End,490496.03,5458588.52
Theft from Vehicle,2003,06,15,22,00,10XX E BROADWAY AVE,Mount Pleasant,494071.3,5456636.85
Offence Against a Person,2003,02,05,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,04,04,22,00,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Break and Enter Residential/Other,2003,05,27,22,42,33XX VICTORIA DR,Kensington-Cedar Cottage,495192.54,5455784.16
Offence Against a Person,2003,02,04,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2003,10,15,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2003,10,06,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Commercial,2003,09,14,16,57,10XX DAVIE ST,West End,490507.87,5458589.68
Break and Enter Residential/Other,2003,06,14,08,35,33XX VICTORIA DR,Kensington-Cedar Cottage,495192.54,5455784.16
Offence Against a Person,2003,06,29,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,08,17,20,30,11XX DAVIE ST,West End,490445.62,5458638.49
Theft from Vehicle,2003,01,30,08,30,33XX KINGSWAY AVE,Renfrew-Collingwood,497390.47,5453477.31
Break and Enter Residential/Other,2003,09,14,16,00,33XX VICTORIA DR,Kensington-Cedar Cottage,495192.54,5455784.16
Break and Enter Residential/Other,2003,06,18,01,30,18XX FRANCES ST,Grandview-Woodland,495069.2,5458507.43
Mischief,2003,08,16,20,00,15XX HARO ST,West End,490379.81,5459476.84
Break and Enter Residential/Other,2003,09,27,15,00,33XX VICTORIA DR,Kensington-Cedar Cottage,495192.54,5455784.16
Theft from Vehicle,2003,06,19,18,00,10XX BOUNDARY RD,Hastings-Sunrise,498275.63,5458126.06
Theft from Vehicle,2003,04,05,23,00,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Theft from Vehicle,2003,07,30,21,00,11XX DAVIE ST,West End,490445.62,5458638.49
Break and Enter Residential/Other,2003,03,07,06,21,18XX FRANCES ST,Grandview-Woodland,495091.09,5458506.97
Break and Enter Residential/Other,2003,03,16,04,08,18XX FRANCES ST,Grandview-Woodland,495091.09,5458506.97
Break and Enter Commercial,2003,04,09,06,00,10XX DAVIE ST,West End,490528.54,5458556.46
Theft of Vehicle,2003,05,11,03,27,5XX ATLANTIC ST,Strathcona,493225.84,5458112.71
Theft from Vehicle,2003,05,27,20,29,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Break and Enter Commercial,2003,07,06,18,49,10XX DAVIE ST,West End,490529.55,5458568.31
Break and Enter Commercial,2003,07,28,18,20,10XX DAVIE ST,West End,490529.55,5458568.31
Break and Enter Commercial,2003,08,23,16,30,10XX DAVIE ST,West End,490529.55,5458568.31
Theft of Vehicle,2003,12,24,17,00,10XX COMOX ST,West End,490746.9,5458647.95
Break and Enter Residential/Other,2003,05,05,09,45,18XX FRANCES ST,Grandview-Woodland,495098.58,5458515.96
Theft from Vehicle,2003,05,29,07,30,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Theft from Vehicle,2003,06,05,10,00,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Theft of Vehicle,2003,08,22,09,30,5XX ALEXANDER ST,Strathcona,493221.19,5459025.6
Offence Against a Person,2003,11,25,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,06,13,21,30,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Theft of Vehicle,2003,12,22,05,00,10XX COMOX ST,West End,490746.9,5458647.95
Theft of Vehicle,2003,07,04,16,00,5XX ALEXANDER ST,Strathcona,493221.19,5459025.6
Break and Enter Commercial,2003,05,21,08,20,10XX DAVIE ST,West End,490547.51,5458537.76
Break and Enter Commercial,2003,12,13,19,00,10XX DAVIE ST,West End,490550.22,5458535.09
Break and Enter Residential/Other,2003,03,16,03,30,18XX FRANCES ST,Grandview-Woodland,495142.17,5458505.92
Break and Enter Residential/Other,2003,04,05,17,10,18XX FRANCES ST,Grandview-Woodland,495142.17,5458505.92
Theft of Vehicle,2003,04,10,02,45,5XX ALEXANDER ST,Strathcona,493221.19,5459025.6
Break and Enter Commercial,2003,02,16,06,00,10XX DAVIE ST,West End,490552.93,5458532.42
Break and Enter Residential/Other,2003,04,09,10,40,18XX FRANCES ST,Grandview-Woodland,495142.17,5458505.92
Break and Enter Commercial,2003,10,05,05,14,10XX DAVIE ST,West End,490553.93,5458544.27
Break and Enter Residential/Other,2003,11,03,07,00,18XX FRANCES ST,Grandview-Woodland,495142.17,5458505.92
Mischief,2003,08,21,22,30,32XX KITCHENER ST,Hastings-Sunrise,497365.63,5457729.87
Theft from Vehicle,2003,06,28,05,02,10XX BOUNDARY RD,Hastings-Sunrise,498276.1,5458186.53
Mischief,2003,04,17,20,00,39XX SLOCAN ST,Renfrew-Collingwood,496392.92,5455211.79
Break and Enter Commercial,2003,06,30,05,30,10XX DAVIE ST,West End,490556.64,5458541.6
Break and Enter Commercial,2003,11,06,18,00,10XX DAVIE ST,West End,490556.64,5458541.6
Break and Enter Residential/Other,2003,02,20,12,00,18XX FRANCES ST,Grandview-Woodland,495156.77,5458505.61
Break and Enter Residential/Other,2003,02,20,15,10,18XX FRANCES ST,Grandview-Woodland,495156.77,5458505.61
Theft from Vehicle,2003,07,13,21,30,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Theft from Vehicle,2003,09,09,08,15,69XX NANAIMO ST,Victoria-Fraserview,495681.35,5452036.38
Break and Enter Residential/Other,2003,12,05,11,00,33XX W 10TH AVE,Kitsilano,487000.23,5456745.13
Mischief,2003,11,01,00,30,39XX SLOCAN ST,Renfrew-Collingwood,496382.85,5455124.61
Mischief,2003,08,23,22,30,39XX SI-LU DR,Musqueam,485991.22,5452718.96
Theft from Vehicle,2003,10,16,19,00,89XX OAK ST,Marpole,490506.27,5450204.44
Theft from Vehicle,2003,05,10,16,00,2XX E 20TH AVE,Riley Park,492664.08,5455579.44
Theft from Vehicle,2003,05,12,00,30,69XX NANAIMO ST,Victoria-Fraserview,495681.4,5452026.18
Theft from Vehicle,2003,06,30,17,30,11XX DAVIE ST,West End,490445.62,5458638.49
Theft from Vehicle,2003,06,07,15,00,11XX DAVIE ST,West End,490445.62,5458638.49
Theft of Vehicle,2003,08,17,23,00,10XX COMOX ST,West End,490746.9,5458647.95
Theft of Vehicle,2003,07,27,21,50,10XX COMOX ST,West End,490746.9,5458647.95
Break and Enter Residential/Other,2003,04,30,05,00,18XX FRANCES ST,Grandview-Woodland,495164.25,5458514.61
Break and Enter Residential/Other,2003,11,23,19,30,18XX FRANCES ST,Grandview-Woodland,495164.25,5458514.61
Theft of Vehicle,2003,07,10,09,30,5XX ABBOTT ST,Central Business District,492179.83,5458699.21
Theft of Vehicle,2003,04,04,21,00,5XX ABBOTT ST,Central Business District,492179.83,5458699.21
Offence Against a Person,2003,12,07,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,12,28,01,30,10XX RICHARDS ST,Central Business District,491190.69,5458356.53
Theft of Vehicle,2003,02,04,23,22,10XX COMOX ST,West End,490746.9,5458647.95
Theft from Vehicle,2003,07,16,20,00,2XX E 20TH AVE,Riley Park,492664.08,5455579.44
Offence Against a Person,2003,09,21,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Commercial,2003,05,24,23,30,10XX DENMAN ST,West End,489807.56,5459515.61
Break and Enter Commercial,2003,05,25,23,30,10XX DENMAN ST,West End,489807.56,5459515.61
Mischief,2003,01,08,23,00,15XX GRAVELEY ST,Grandview-Woodland,494731.48,5457535.98
Theft of Vehicle,2003,11,08,16,00,10XX COMOX ST,West End,490699.52,5458708.2
Break and Enter Residential/Other,2003,08,09,18,00,18XX FRANKLIN ST,Grandview-Woodland,495047.81,5458820.66
Mischief,2003,12,24,23,42,10XX RICHARDS ST,Central Business District,491190.69,5458356.53
Mischief,2003,04,26,21,00,32XX KITCHENER ST,Hastings-Sunrise,497380.37,5457729.83
Offence Against a Person,2003,10,17,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,11,09,15,30,18XX FRANKLIN ST,Grandview-Woodland,495047.81,5458820.66
Break and Enter Commercial,2003,10,06,03,57,10XX DENMAN ST,West End,489823.44,5459544.73
